Model,Train accuracy,Test accuracy,Train_f1,Test_f1,Train_precision,Test_precision,Train_recall,Test_recall,Train_auc_roc,Test_auc_roc,Avg Cross-Val Score
Logistic Regression Base,0.5327,0.521,0.2815190651906519,0.28314875785692906,0.49647505422993493,0.5214994487320838,0.19645922746781116,0.1943303204601479,0.5457297091752262,0.5465751810381764,0.53205
Logistic Regression Balanced,0.535814606741573,0.5332,0.5352271129236394,0.5179677819083024,0.5359053787665446,0.520764119601329,0.5345505617977528,0.5152013147082991,0.5464816539017239,0.5469885891671059,0.5348314606741573
Random Forest Base,0.82195,0.5148,0.8054842410007101,0.47534602076124566,0.8204072549237788,0.5018264840182648,0.7910944206008583,0.4515201314708299,0.9213414779942454,0.5226584320207812,0.51935
Random Forest Balanced,0.8318352059925094,0.513,0.8310124200225819,0.478921463727798,0.8350983358547656,0.49977668602054487,0.8269662921348314,0.45973705834018075,0.9291808168160585,0.5220413619476231,0.536189138576779
Random Forest Tuned,0.6303370786516854,0.5292,0.6712739383846794,0.5645578986311506,0.6043478260869565,0.5134589502018843,0.7548689138576778,0.6269515201314708,0.6982267907741728,0.5489462735948447,0.5425093632958802
Gradient Boosting Base,0.82195,0.5182,0.8048232392436284,0.4820468716405074,0.8226330532212885,0.505638249887235,0.7877682403433477,0.46055875102711585,0.9288136292215203,0.5236360733977152,0.51555
Gradient Boosting Balanced,0.8318352059925094,0.522,0.8304060434372049,0.4904051172707889,0.8375238095238096,0.5097517730496454,0.8234082397003746,0.4724732949876746,0.9366728562611343,0.5260869815826839,0.5323970037453184
Gradient Boosting Tuned,0.5392790262172285,0.5328,0.6168879199595126,0.597934595524957,0.5279536216432331,0.5145142180094787,0.7418539325842697,0.7136400986031224,0.5529049888482094,0.5542556540206263,0.5245318352059926
Decision Tree Base,0.75535,0.5172,0.7211171273867198,0.4649822695035461,0.7691185410334347,0.5048123195380173,0.6787553648068669,0.43097781429745274,0.8640699795856038,0.5224668585017014,0.5176499999999999
Decision Tree Balanced,0.7087078651685393,0.523,0.7201583160924709,0.5163252889880349,0.692920200796261,0.5098117741289547,0.749625468164794,0.5230073952341824,0.8154078469329067,0.5266103863748878,0.5296816479400748
Decision Tree Tuned,0.5711610486891385,0.5272,0.6345939045795437,0.5877223578653645,0.552821795941062,0.5106060606060606,0.7447565543071161,0.6922760887428102,0.6053249054903282,0.5374343302307976,0.5236423220973783
